rho,noise,network,n_sens,expect,ga_acc,rnd_acc,drop_s,drop_i,share_i
0.5,0.5,0,8,2.8928,0.7545454545454545,0.32727272727272727,0.034090909090909075,,
0.5,0.5,1,5,1.6912,0.9636363636363636,0.3090909090909091,0.12727272727272723,0.1575757575757575,0.5531914893617021
0.5,0.5,2,3,0.2,0.9181818181818182,0.23636363636363633,0.07878787878787875,0.05454545454545455,0.4090909090909092
0.5,0.5,3,4,1.6496,0.8181818181818182,0.2909090909090909,0.13181818181818186,0.08636363636363636,0.39583333333333326
0.5,0.5,4,6,1.2624,0.9272727272727272,0.19999999999999998,0.17575757575757567,0.08636363636363631,0.3294797687861271
0.5,0.5,5,5,0.6912,1.0,0.3363636363636363,0.08545454545454541,0.0606060606060606,0.4149377593360997
0.5,0.5,6,6,2.48,0.7727272727272727,0.3454545454545454,0.06666666666666658,0.09090909090909086,0.5769230769230771
0.5,0.5,7,6,2.4496,0.7727272727272727,0.42727272727272725,0.027272727272727216,0.0454545454545454,0.6250000000000002
0.5,0.5,8,4,2.3312,0.5818181818181818,0.3363636363636363,0.047727272727272646,0.034090909090909054,0.4166666666666668
0.5,0.5,9,2,0.2288,1.0,0.40909090909090906,0.0909090909090909,0.07575757575757575,0.4545454545454546
0.5,0.5,10,5,2.2464,0.8909090909090909,0.44545454545454544,0.10727272727272723,0.045454545454545366,0.2976190476190473
0.5,0.5,11,2,3.6688,0.7636363636363637,0.29999999999999993,0.0727272727272727,0.07575757575757575,0.5102040816326532
0.5,0.5,12,3,0.7184,0.9545454545454546,0.3636363636363636,0.13939393939393943,0.08181818181818182,0.36986301369863006
0.5,0.5,13,6,2.1856,0.9636363636363636,0.509090909090909,0.11212121212121208,0.09999999999999995,0.47142857142857136
0.5,0.5,14,6,2.3168,0.8909090909090909,0.40909090909090906,0.08939393939393932,0.14090909090909087,0.6118421052631581
0.5,0.5,15,3,0.376,0.9818181818181818,0.3727272727272727,0.13030303030303028,0.1127272727272727,0.46384039900249374
0.5,0.5,16,2,0.6688,1.0,0.3636363636363636,0.11363636363636359,0.0363636363636363,0.24242424242424218
0.5,0.5,17,6,2.5408,0.5818181818181818,0.2818181818181818,0.09545454545454539,0.049999999999999996,0.3437500000000001
0.5,0.5,18,3,1.1376,0.9363636363636364,0.3818181818181817,0.18484848484848482,0.05272727272727272,0.22193877551020408
0.5,0.5,19,2,0.576,0.8272727272727273,0.3181818181818182,0.15909090909090912,0.09848484848484844,0.3823529411764704
0.5,0.5,20,7,1.0016,0.9636363636363636,0.3727272727272727,0.12467532467532462,0.0545454545454545,0.30434782608695643
0.5,0.5,21,6,1.9152,0.7818181818181819,0.2545454545454545,0.15151515151515152,0.1136363636363636,0.4285714285714285
0.5,0.5,22,4,1.1216,0.9090909090909092,0.5,0.08636363636363628,0.07272727272727267,0.4571428571428572
0.5,0.5,23,7,1.784,0.9090909090909092,0.3454545454545454,0.16363636363636358,0.0,0.0
0.5,0.5,24,7,2.0544,0.7636363636363637,0.3818181818181818,0.053246753246753244,0.0454545454545455,0.46052631578947395
0.5,0.5,25,7,2.0944,0.8454545454545455,0.309090909090909,0.11948051948051944,0.0818181818181817,0.40645161290322557
0.5,0.5,26,4,2.488,0.7090909090909091,0.20909090909090908,0.1136363636363636,0.12045454545454545,0.5145631067961165
0.5,0.5,27,4,0.472,0.9818181818181818,0.39999999999999997,0.14090909090909085,0.05454545454545458,0.27906976744186063
0.5,0.5,28,4,2.88,0.7909090909090909,0.3909090909090909,0.12499999999999992,0.047727272727272674,0.2763157894736841
