kind,degree,count
in,0,1
in,1,24
in,2,92
in,3,386
in,4,1092
in,5,2607
in,6,5093
in,7,8866
in,8,13746
in,9,18845
in,10,23482
in,11,26698
in,12,28142
in,13,27121
in,14,24322
in,15,20574
in,16,16006
in,17,11788
in,18,8253
in,19,5254
in,20,3427
in,21,1955
in,22,1058
in,23,584
in,24,310
in,25,153
in,26,59
in,27,33
in,28,18
in,29,6
in,30,3
in,31,1
in,32,1
out,0,0
out,1,132776
out,2,38093
out,3,18388
out,4,10909
out,5,7219
out,6,5264
out,7,4108
out,8,3159
out,9,2567
out,10,2145
out,11,1797
out,12,1544
out,13,1359
out,14,1171
out,15,1035
out,16,904
out,17,877
out,18,723
out,19,636
out,20,628
out,21,513
out,22,468
out,23,450
out,24,408
out,25,440
out,26,372
out,27,360
out,28,337
out,29,327
out,30,278
out,31,313
out,32,276
out,33,227
out,34,238
out,35,215
out,36,205
out,37,214
out,38,189
out,39,200
out,40,178
out,41,187
out,42,157
out,43,133
out,44,119
out,45,138
out,46,136
out,47,121
out,48,142
out,49,122
out,50,102
out,51,119
out,52,122
out,53,101
out,54,102
out,55,111
out,56,90
out,57,89
out,58,90
out,59,98
out,60,91
out,61,81
out,62,88
out,63,91
out,64,82
out,65,77
out,66,72
out,67,67
out,68,71
out,69,65
out,70,54
out,71,63
out,72,42
out,73,69
out,74,57
out,75,58
out,76,56
out,77,66
out,78,44
out,79,48
out,80,52
out,81,47
out,82,44
out,83,52
out,84,45
out,85,47
out,86,42
out,87,44
out,88,46
out,89,37
out,90,44
out,91,50
out,92,46
out,93,39
out,94,41
out,95,22
out,96,29
out,97,28
out,98,44
out,99,34
out,100,37
out,101,32
out,102,32
out,103,37
out,104,50
out,105,29
out,106,33
out,107,24
out,108,31
out,109,37
out,110,41
out,111,26
out,112,23
out,113,28
out,114,24
out,115,17
out,116,32
out,117,26
out,118,26
out,119,26
out,120,20
out,121,26
out,122,27
out,123,26
out,124,24
out,125,13
out,126,18
out,127,27
out,128,29
out,129,24
out,130,29
out,131,15
